Area,Subarea,Task,Details,Status
Backend,Multi-Org,Extend schema with organisation support,"Add organisation table and org_id foreign keys to relevant entities (users, sites, incidents, inspections, etc.) per DATA_MODEL_PHASE3.",
Backend,Multi-Org,Implement org scoping in queries,Ensure all list/detail endpoints are filtered by the caller's organisation and prevent cross-org access.,
Backend,Multi-Org,Org-level settings API,Add endpoints for retrieving and updating organisation settings such as branding and defaults.,
Backend,Exports,Implement CSV/Excel export endpoints,"Add export endpoints for incidents, inspections, and actions using filters and pagination-safe query patterns.",
Backend,Tests,Add backend tests for multi-org isolation and exports,Verify that data is properly scoped by organisation and that exports obey filters and permissions.,
Backend,Handover,Update HANDOVER_TO_CLAUDE.md for Phase 3 backend work,Summarise multi-org and export implementation status with traceability.,
Frontend,Multi-Org,Add organisation selector (if applicable),Implement UI for admins to view or switch organisation context where supported.,
Frontend,Multi-Org,Apply branding/theming per organisation,Adjust logos/colours or labels based on organisation settings from backend.,
Frontend,Exports,Add export controls to key list views,Expose 'Export to CSV/Excel' actions on incidents/inspections/actions lists wired to export endpoints.,
Frontend,Tests,Add tests for org-specific UI behaviour and exports,Verify that a user only sees/exports their org's data and that export actions behave as expected.,
Frontend,Handover,Update HANDOVER_TO_CLAUDE.md for Phase 3 frontend work,Summarise Phase 3 UI work and remaining tasks.,
